sequential_id,gender,treatment,customer_signup,country,commercial_communications,communications_signup,loyalty_level,loyalty_signup,birth_date,email,total_reservations,average_stay,average_advance_booking,billing,reservation_channel,travel_reason,last_reservation,different_hotels,companion,language_name,age
3.695.702,hombre,Señor,2022-12-17,ES,True,,,,1986-07-29,True,3,2,1,590.83236304,Mixto Directo,MIXTO_LEISURE,2023-03-17,1.0,Pareja,Spanish,37
4.297.873,hombre,Señor,2022-09-21,IS,True,,,,1995-11-26,False,2,1,14,375.12286456,Indirecto,BT,2022-09-25,1.0,Individual,English,28
5.443.901,hombre,Señor,2022-04-24,IT,True,,,,1966-10-29,False,2,2,1,491.98810344,Directo,LEISURE,2024-01-07,1.0,Pareja,Italian,57
3.474.662,hombre,Señor,2023-01-22,BE,True,,,,1946-03-17,False,2,3,57,560.34704264,Directo,LEISURE,2023-06-21,2.0,Pareja,Spanish,78
4.692.736,hombre,Señor,2022-08-07,PT,True,,,,1980-07-13,True,2,6,32,4346.02597596,Indirecto,LEISURE,2023-08-13,2.0,Grupo,Portuguese,43
3.804.616,hombre,Señor,2022-11-29,ES,True,,,,1988-03-23,False,2,2,0,372.73920164,Directo,BT,2022-12-29,1.0,Individual,Spanish,36
1.530.188,hombre,Señor,2023-09-30,US,True,,,,1988-08-09,True,2,2,0,720.1962365099,Mixto Directo,MIXTO,2023-10-04,1.0,Individual,English,35
5.306.670,hombre,Señor,2022-05-16,IT,True,2022-07-09,,,1970-12-17,True,3,4,3,1818.3366996,Mixto Indirecto,MIXTO,2022-06-28,1.0,Individual,Italian,53
1.616.221,mujer,Señora,2023-09-21,VE,True,,,,1963-01-07,True,2,3,0,533.145709342,Directo,MIXTO,2023-09-26,1.0,Individual,Spanish,61
5.383.109,hombre,Señor,2022-05-05,FR,True,,,,1957-05-19,False,2,2,17,551.934456,Indirecto,MIXTO,2024-01-18,1.0,Individual,English,67
4.450.326,hombre,Señor,2022-09-03,ES,True,,,,1992-04-28,False,2,4,8,705.26227572,Mixto Directo,MIXTO,2023-05-21,2.0,Pareja,Spanish,32
444.966,hombre,Señor,2024-03-05,PT,True,2024-04-17,bajo,2024-03-03,1978-02-14,True,2,1,1,357.45811296,Directo,LEISURE,2024-04-05,2.0,Familia,Portuguese,46
5.607.236,hombre,Señor,2022-03-29,ES,True,2024-05-07,bajo,2024-03-18,1992-03-10,True,4,1,10,488.64548496,Mixto Indirecto,BT,2024-03-25,3.0,Individual,Spanish,32
1.164.018,mujer,Señora,2023-11-17,QA,True,,,,1983-12-03,False,3,1,11,821.312,Mixto Directo,MIXTO_BT,2023-11-24,3.0,Individual,English,40
2.560.782,mujer,Señora,2023-06-02,ES,True,2024-06-21,bajo,2024-03-03,1965-01-21,True,7,1,22,2670.1982096,Mixto Directo,MIXTO,2024-03-10,4.0,Individual,Spanish,59
5.990.126,hombre,Señor,2022-01-02,FR,True,,,,1978-08-17,False,8,7,3,4438.037784,Mixto Directo,MIXTO_BT,2022-11-04,1.0,Individual,French,45
3.432.181,mujer,Señora,2023-01-29,ES,True,,,,1960-12-10,False,2,3,4,507.07309076,Directo,LEISURE,2023-09-20,2.0,Pareja,Spanish,63
5.309.496,hombre,Señor,2022-05-16,NO,True,,,,1986-07-16,False,2,2,13,1166.04,Indirecto,BT,2023-05-19,1.0,Individual,English,37
2.853.972,hombre,Señor,2023-04-26,DE,True,2023-06-15,,,1991-09-29,True,2,2,47,933.90545544,Indirecto,BT,2023-05-04,1.0,Individual,German,32
3.310.229,mujer,Señora,2023-02-18,DE,True,,,,1992-10-08,False,2,2,48,659.25400764,Indirecto,LEISURE,2024-02-09,2.0,Familia,German,31
